country,variable,percentile,year,ppp,age,pop
OI-PPP,xlcusp999i,p0p100,2023,1,999,i
OJ-MER,xlcusp999i,p0p100,2023,0.34125496,999,i
OJ-PPP,xlcusp999i,p0p100,2023,1,999,i
OK-MER,xlcusp999i,p0p100,2023,1.05765597,999,i
OK-PPP,xlcusp999i,p0p100,2023,1,999,i
OL-MER,xlcusp999i,p0p100,2023,0.68986771,999,i
OL-PPP,xlcusp999i,p0p100,2023,1,999,i
OM,xlcusp999i,p0p100,2023,0.19283955,999,i
PA,xlcusp999i,p0p100,2023,0.47033933,999,i
PE,xlcusp999i,p0p100,2023,1.74530911,999,i
PF,xlcusp999i,p0p100,2023,105.754318,999,i
PG,xlcusp999i,p0p100,2023,2.33484435,999,i
PH,xlcusp999i,p0p100,2023,19.2768326,999,i
PK,xlcusp999i,p0p100,2023,56.247612,999,i
PL,xlcusp999i,p0p100,2023,1.91661119,999,i
PR,xlcusp999i,p0p100,2023,0.77217317,999,i
PS,xlcusp999i,p0p100,2023,0.57216185,999,i
PT,xlcusp999i,p0p100,2023,0.5487802,999,i
PW,xlcusp999i,p0p100,2023,0.91426605,999,i
PY,xlcusp999i,p0p100,2023,2613.72803,999,i
QA,xlcusp999i,p0p100,2023,2.26618958,999,i
QE-MER,xlcusp999i,p0p100,2023,0.72081682,999,i
QE-PPP,xlcusp999i,p0p100,2023,1,999,i
QF-MER,xlcusp999i,p0p100,2023,0.91828097,999,i
QF-PPP,xlcusp999i,p0p100,2023,1,999,i
QL-MER,xlcusp999i,p0p100,2023,0.53926709,999,i
QL-PPP,xlcusp999i,p0p100,2023,1,999,i
QM-MER,xlcusp999i,p0p100,2023,0.47748471,999,i
QM-PPP,xlcusp999i,p0p100,2023,1,999,i
QP-MER,xlcusp999i,p0p100,2023,0.9869222,999,i
QP-PPP,xlcusp999i,p0p100,2023,1,999,i
RO,xlcusp999i,p0p100,2023,1.88361979,999,i
RS,xlcusp999i,p0p100,2023,45.8174248,999,i
RU,xlcusp999i,p0p100,2023,26.2900448,999,i
RW,xlcusp999i,p0p100,2023,345.428101,999,i
SA,xlcusp999i,p0p100,2023,1.96023297,999,i
SB,xlcusp999i,p0p100,2023,6.08515072,999,i
SC,xlcusp999i,p0p100,2023,7.70286417,999,i
SD,xlcusp999i,p0p100,2023,469.742737,999,i
SE,xlcusp999i,p0p100,2023,8.48486233,999,i
SG,xlcusp999i,p0p100,2023,0.80444688,999,i
SI,xlcusp999i,p0p100,2023,0.56815428,999,i
SK,xlcusp999i,p0p100,2023,0.52096695,999,i
SL,xlcusp999i,p0p100,2023,4.79862022,999,i
SM,xlcusp999i,p0p100,2023,0.68994999,999,i
SN,xlcusp999i,p0p100,2023,213.630722,999,i
SO,xlcusp999i,p0p100,2023,10003.5879,999,i
SR,xlcusp999i,p0p100,2023,10.5346718,999,i
SS,xlcusp999i,p0p100,2023,428.239136,999,i
ST,xlcusp999i,p0p100,2023,10.9191494,999,i
SU,xlcusp999i,p0p100,2023,24.5422707,999,i
SV,xlcusp999i,p0p100,2023,0.42628598,999,i
SX,xlcusp999i,p0p100,2023,1.38675535,999,i
SY,xlcusp999i,p0p100,2023,2019.61279,999,i
SZ,xlcusp999i,p0p100,2023,6.2830205,999,i
TC,xlcusp999i,p0p100,2023,1.22693861,999,i
TD,xlcusp999i,p0p100,2023,216.221329,999,i
TG,xlcusp999i,p0p100,2023,194.818588,999,i
TH,xlcusp999i,p0p100,2023,10.654994,999,i
TJ,xlcusp999i,p0p100,2023,2.538656,999,i
TL,xlcusp999i,p0p100,2023,0.31302449,999,i
TM,xlcusp999i,p0p100,2023,1.43655992,999,i
TN,xlcusp999i,p0p100,2023,0.88735324,999,i
TO,xlcusp999i,p0p100,2023,1.44870651,999,i
TR,xlcusp999i,p0p100,2023,8.18346214,999,i
TT,xlcusp999i,p0p100,2023,3.63726997,999,i
TV,xlcusp999i,p0p100,2023,1.55485964,999,i
TW,xlcusp999i,p0p100,2023,13.5385962,999,i
TZ,xlcusp999i,p0p100,2023,755.555176,999,i
UA,xlcusp999i,p0p100,2023,10.5258055,999,i
UG,xlcusp999i,p0p100,2023,1208.98389,999,i
US,xlcusp999i,p0p100,2023,1,999,i
UY,xlcusp999i,p0p100,2023,25.7293358,999,i
UZ,xlcusp999i,p0p100,2023,3013.27319,999,i
VC,xlcusp999i,p0p100,2023,1.4584794,999,i
VE,xlcusp999i,p0p100,2023,14.3572845,999,i
VG,xlcusp999i,p0p100,2023,0.81490088,999,i
VI,xlcusp999i,p0p100,2023,0.89083552,999,i
VN,xlcusp999i,p0p100,2023,6795.6001,999,i
VU,xlcusp999i,p0p100,2023,116.363686,999,i
WO-MER,xlcusp999i,p0p100,2023,0.57339177,999,i
WO-PPP,xlcusp999i,p0p100,2023,1,999,i
WS,xlcusp999i,p0p100,2023,1.72443628,999,i
XB-MER,xlcusp999i,p0p100,2023,0.9823101,999,i
XB-PPP,xlcusp999i,p0p100,2023,1,999,i
XF-MER,xlcusp999i,p0p100,2023,0.33372628,999,i
XF-PPP,xlcusp999i,p0p100,2023,1,999,i
XI,xlcusp999i,p0p100,2023,0.68486702,999,i
XL-MER,xlcusp999i,p0p100,2023,0.50281875,999,i
XL-PPP,xlcusp999i,p0p100,2023,1,999,i
XN-MER,xlcusp999i,p0p100,2023,0.39307432,999,i
